proteinId	gotermId	goName	gotermType	goAcc
1673	3504	translational initiation	biological_process	GO:0006413
1673	2855	cytoplasm	cellular_component	GO:0005737
1673	1108	translation initiation factor activity	molecular_function	GO:0003743
1673	1096	RNA binding	molecular_function	GO:0003723
1692	3503	protein biosynthesis	biological_process	GO:0006412
1692	2953	ribosome	cellular_component	GO:0005840
1692	2746	intracellular	cellular_component	GO:0005622
1692	1107	structural constituent of ribosome	molecular_function	GO:0003735
1692	1096	RNA binding	molecular_function	GO:0003723
1702	3444	transcription	biological_process	GO:0006350
1702	1233	DNA-directed DNA polymerase activity	molecular_function	GO:0003887
1702	1056	DNA binding	molecular_function	GO:0003677
1702	10782	sigma DNA polymerase activity	molecular_function	GO:0019984
1702	8197	theta DNA polymerase activity	molecular_function	GO:0016452
1702	8196	nu DNA polymerase activity	molecular_function	GO:0016451
1702	8195	kappa DNA polymerase activity	molecular_function	GO:0016450
1702	8194	lambda DNA polymerase activity	molecular_function	GO:0016449
1702	8193	mu DNA polymerase activity	molecular_function	GO:0016448
1702	7809	iota DNA polymerase activity	molecular_function	GO:0016000
1702	7808	eta DNA polymerase activity	molecular_function	GO:0015999
1702	1240	gamma DNA-directed DNA polymerase activity	molecular_function	GO:0003895
1702	1239	zeta DNA polymerase activity	molecular_function	GO:0003894
1702	1238	epsilon DNA polymerase activity	molecular_function	GO:0003893
1702	1236	delta DNA polymerase activity	molecular_function	GO:0003891
1702	1235	beta DNA polymerase activity	molecular_function	GO:0003890
1702	1234	alpha DNA polymerase activity	molecular_function	GO:0003889
1751	3800	aromatic compound metabolism	biological_process	GO:0006725
1751	1783	monooxygenase activity	molecular_function	GO:0004497
1751	6871	disulfide oxidoreductase activity	molecular_function	GO:0015036
1751	3218	electron transport	biological_process	GO:0006118
1751	8235	oxidoreductase activity	molecular_function	GO:0016491
1751	4804	metabolism	biological_process	GO:0008152
1751	9513	phenol 2-monooxygenase activity	molecular_function	GO:0018662
1847	1251	DNA ligase (ATP) activity	molecular_function	GO:0003910
1857	4055	chromosome organization and biogenesis (sensu Eukaryota)	biological_process	GO:0007001
1857	3429	nucleosome assembly	biological_process	GO:0006334
1857	2757	nucleus	cellular_component	GO:0005634
1857	1056	DNA binding	molecular_function	GO:0003677
1857	481	nucleosome	cellular_component	GO:0000786
1879	4286	intracellular signaling cascade	biological_process	GO:0007242
1885	3078	polysaccharide metabolism	biological_process	GO:0005976
1885	1636	glucan 1,4-alpha-glucosidase activity	molecular_function	GO:0004339
1885	3077	carbohydrate metabolism	biological_process	GO:0005975
1885	1170	catalytic activity	molecular_function	GO:0003824
1885	262	polysaccharide catabolism	biological_process	GO:0000272
1925	4804	metabolism	biological_process	GO:0008152
1925	1170	catalytic activity	molecular_function	GO:0003824
1925	18835	regulation of oxidoreductase activity	biological_process	GO:0051341
1925	8235	oxidoreductase activity	molecular_function	GO:0016491
1941	2757	nucleus	cellular_component	GO:0005634
1941	1056	DNA binding	molecular_function	GO:0003677
1959	4804	metabolism	biological_process	GO:0008152
